VIVOSSPK01_R001|x_ɛ_k_5b s_a_n_6
VIVOSSPK29_071|n_ɔ_5 m_i_ŋ_1 c_ɯ_ŋ_5 c_ɔ_1 m_o_t_6b d_ɤ̆_t_5b n_ɯə_k_5b h_w_a_2 b_i_ŋ_2 d_a_ŋ_1 c_ɯə_5 k_ă_ŋ_1 s_ɯ_k_5b s_o_ŋ͡m_5 k_uə_4 t_uə_j_4 c_ɛ_4
VIVOSSPK29_072|ɲ_ɯ_ŋ_1 b_a_2 k_ɔ_n_1 s_ă_n_3 s_a_ŋ_2 ŋ_ɛ_1 n_ɛu_5 c_u_ŋ_5 t_a_1 c_ɯə_3 d_ɯə_k_6b b_e_ŋ_6 v_a_2 t_w_iə_n_1 c_w_iə_n_2 t_o_t_5b
VIVOSSPK29_073|m_a_n_2 m_uə_5 v_u_3 d_a_w_6 k_a_j_4 l_ɯə_ŋ_1 k_uə_4 c_u_ŋ_1 tʰ_a_w_4 v_ɤ_j_5 ɲ_ɯ_ŋ_3 d_ɯə_ŋ_2 n_ɛ_t_5b d_iə_w_6 b_o_6 w_iə_n_4 c_w_iə_n_4 d_ɛ_p_6b m_ă_t_5b h_ɤ_p_6b v_ɤ_j_5 ɲ_i_p_6b d_iə_w_6 c_ɛ_4 k_u_ŋ_3 l_a_2 t_iə_t_5b m_u_k_6b m_ɤ_j_5 l_a_6
VIVOSSPK29_074|k_ɔ_5 ŋ_ɯə_j_2 v_ɯə_2 b_ɯə_k_5b s_uə_ŋ_5 t_ă_w_2 d_a_3 v_e_2 ŋ_ă_j_1 tʰ_a_j_5 b_i_ŋ_2 z_ɯ_6 d_a_m_5 k_ɯə_j_5 d_o_ŋ͡m_2 d_o_j_6 z_o_j_2 m_ɤ_j_5 v_e_2 ɲ_a_2
VIVOSSPK29_075|o_ŋ͡m_1 ŋ_i_3 n_ɛu_5 s_ɯ_4 l_i_5 d_ɯə_k_6b h_a_j_1 c_w_iə_n_6 n_ă_j_2 tʰ_i_2 c_o_ŋ͡m_2 z_ɯə_1 d_ɯə_k_6b n_e_n_1 t_i_m_2 b_iə_n_6 f_a_p_5b k_ɛ_k_5b l_i_1 f_ɛ_n_2 x_ɔ_j_4 z_ɤ̆_j_1 z_ɯə_1
VIVOSSPK29_076|x_o_ŋ͡m_1 z_ɤ̆_w_5 n_o_j_4 b_ɯ_k_6b m_i_ŋ_2 v_i_2 l_ɤ̆_n_2 n_ă_j_2 d_i_1 x_a_m_5 b_a_2 x_o_ŋ͡m_1 m_a_ŋ_1 tʰ_eo_1 z_ɤ̆_j_5
VIVOSSPK29_077|b_ɯə_3 k_ɤ_m_1 v_ɤ_j_5 z_ɯə_1 k_a_j_4 s_a_w_2 k_u_ŋ_2 c_ɛ_n_5 n_ɯə_k_5b m_ă_m_5 a_j_1 k_u_ŋ_3 ă_n_1 ŋ_ɔ_n_1 l_ɛ_ŋ_2
VIVOSSPK29_078|c_i_ŋ_5 t_ɯ_2 d_ɔ_5 k_o_1 b_ă_t_5b t_ă_j_1 v_a_w_2 v_iə_k_6b k_e_t_5b h_ɤ_p_6b ɲ_ɯ_ŋ_3 v_ɤ̆_t_6b z_u_ŋ_6 k_o_ŋ͡m_1 ŋ_e_6 k_a_w_1 v_ɤ_j_5 kw_ɤ̆_n_2 a_w_5 v_a_2 ɲ_ɯ_ŋ_3 f_u_6 k_iə_n_6 k_ɛ_m_2 tʰ_eo_1 ɲ_ɯ_1 t_u_j_5 s_ɛ_k_5b c_ă_ŋ_4 h_a_n_6
VIVOSSPK29_079|m_o_t_6b d_o_j_1 l_ɤ̆_n_2 o_ŋ͡m_1 d_a_3 t_i_m_2 d_e_n_5 z_ɯə_w_6 ɲ_ɯ_1 m_o_t_6b f_ɯə_ŋ_1 k_ɛ_k_5b d_e_4 z_a_j_4 tʰ_w_a_t_5b m_i_ŋ_2 x_ɔ_j_4 n_o_j_3 b_uə_n_2 d_ă_w_1 c_ɯə_k_5b x_i_1 c_ɤ_4 v_e_2 ɲ_a_2
VIVOSSPK29_080|ɲ_ɯ_ŋ_1 z_u_2 c_ɔ_ŋ͡m_1 h_w_a_n_2 k_ɛ_ŋ_4 n_a_w_2 m_ɛ_6 v_ɤ̆_n_3 l_uə_n_1 ɲ_ă_k_5b c_u_ŋ_5 t_o_j_1 z_u_2 ɣ_i_2 d_ɔ_5 k_u_ŋ_3 l_a_2 b_o_5 k_uə_4 k_a_k_5b k_ɔ_n_1 k_a_k_5b k_ɔ_n_1 x_o_ŋ͡m_1 d_ɯə_k_6b f_ɛ_p_5b h_o_n_3
VIVOSSPK29_081|d_a_w_6 z_iə_n_3 kw_o_k͡p_5b tʰ_i_ŋ_6 tʰ_ɯ_5 h_a_j_1 t_ɯ_2 c_a_j_5 kw_a_1 c_i_4 d_a_w_6 z_iə_n_3 s_w_ɤ̆_t_5b c_ɔ_1 k_a_k_5b z_iə_n_3 v_iə_n_1 c_ɔ_ŋ͡m_1 f_i_m_1 k_ɤ̆_w_2 v_o_ŋ͡m_2 d_ɤ_n_1 s_ă_k_5b ɛ_ŋ_4 z_a_1 t_iə_n_5
VIVOSSPK29_082|ɤ̆_n_1 a_2 l_ɤ̆_w_1 l_ă_m_5 z_o_j_2 ɲ_ɯ_ŋ_1 m_a_j_3 d_e_n_5 b_ɤ̆_j_1 z_ɤ_2 ɛ_ŋ_1 m_ɤ_j_5 f_a_t_5b h_iə_n_6 l_a_2 m_i_ŋ_2 iə_w_1 ɛ_m_1
VIVOSSPK29_083|b_ɤ̆_j_1 z_ɤ_2 k_a_k_5b k_ɤ̆_w_6 ŋ_i_3 z_u_m_2 k_ɛ_k_5b n_a_w_2 d_ɔ_5 d_e_4 t_ɤ_5 c_a_4 l_a_j_6 t_iə_n_2 d_a_3 c_ɔ_t_5b l_ɤ̆_j_5 k_ă_p_5b c_ɔ_1 l_ɔ_ŋ͡m_2 tʰ_ɛ_ŋ_1 tʰ_a_n_4 c_ɔ_ŋ͡m_1 f_ɤ̆_n_2 d_ɤ_j_2 k_ɔ_n_2 l_a_j_6
VIVOSSPK29_084|l_o_ŋ͡m_2 d_ɛ_n_2 kw_a_4 tʰ_ɛ_ŋ_1 l_ɔ_ŋ͡m_1 kw_a_ŋ_4 b_a_5 l_w_a_j_6 c_a_j_5 k_ɤ̆_j_1 d_ă_k_6b s_a_n_4 k_uə_4 b_i_ŋ_2 tʰ_w_ɤ̆_n_6 d_ɯə_k_6b x_a_j_1 tʰ_a_k_5b c_ɔ_ŋ͡m_1 l_e_3 h_o_j_6 c_u_ŋ_1 tʰ_u_1 n_ă_m_1 n_ă_j_1
VIVOSSPK29_085|b_a_1 m_ɛ_6 t_o_j_1 ɛ_1 ŋ_a_j_6 t_i_ŋ_2 k_a_m_4 k_uə_4 t_o_j_1 k_ɔ_n_2 n_ɔ_n_1 n_ɤ_t_5b t_o_j_1 v_a_2 b_a_n_6 ɣ_a_j_5 t_o_j_1 c_ɯə_1 tʰ_ɯ_k_6b s_ɯ_6 t_i_m_2 h_iə_w_4 ɲ_ă_w_1 ɲ_iə_w_2
VIVOSSPK29_086|b_ɤ̆_w_2 c_ɤ_j_2 c_ɯ_ŋ_2 ɲ_ɯ_1 k_a_w_1 h_ɤ_n_1 c_ɔ_ŋ͡m_1 k_a_j_5 l_ɛ_ŋ_6 d_ɤ̆_m_6 z_ɤ̆_n_2 k_uə_4 m_uə_2 d_o_ŋ͡m_1 k_a_w_1 ŋ_w_iə_n_1
VIVOSSPK29_087|ɲ_ɯ_ŋ_1 v_ɤ̆_n_5 d_e_2 o_ŋ͡m_1 b_ă_n_1 x_w_ă_n_1 l_a_2 x_i_1 d_e_n_2 b_u_2 s_ɔ_ŋ͡m_1 tʰ_i_2 c_iə_1 l_ɤ_j_6 ɲ_w_ɤ̆_n_6 v_ɤ_j_5 ŋ_ɯə_j_2 ɣ_ɔ_p_5b v_o_n_5 b_ă_ŋ_2 k_ɛ_k_5b n_a_w_2
VIVOSSPK29_088|k_u_6 tʰ_e_4 c_ɯə_ŋ_1 c_i_ŋ_2 s_ɛ_3 d_ɯə_k_6b tʰ_ɯ_k_6b h_iə_n_6 ɲ_ɯ_1 tʰ_e_5 n_a_w_2 v_a_2 c_ɔ_ŋ͡m_1 b_a_w_1 l_ɤ̆_w_1
VIVOSSPK29_089|k_a_k_5b d_a_j_6 b_iə_w_4 k_u_ŋ_3 d_a_3 n_ɛu_1 v_ɤ̆_n_5 d_e_2 h_w_a_t_6b d_o_ŋ͡m_6 k_uə_4 k_a_k_5b t_ɤ̆_p_6b d_w_a_n_2 k_i_ŋ_1 t_e_5 ɲ_a_2 n_ɯə_k_5b v_ɤ_j_5 b_o_6 c_ɯə_ŋ_4 b_o_6 t_a_j_2 c_i_ŋ_5 v_u_3 v_ă_n_1 n_i_ŋ_1
VIVOSSPK29_090|c_ɔ_ŋ͡m_1 x_i_1 d_ɔ_5 v_ɤ_j_5 ŋ_o_n_1 ŋ_ɯ_3 x_a_k_5b z_u_2 ŋ_ɯə_j_2 n_ɔ_j_5 d_ɯ_ŋ_5 ɤ_4 d_ɤ̆_w_1 h_ɔ_6 v_ɤ̆_n_3 m_iə_w_1 t_a_4 s_ɯ_6 v_iə_k_6b t_ɯ_2 ɣ_ɔ_k͡p_5b d_o_6 k_uə_4 b_a_n_4 tʰ_ɤ̆_n_1 s_ɯ_6 v_iə_k_6b d_ɔ_5
VIVOSSPK29_091|t_ɯ_2 l_ɤ̆_w_1 ŋ_ɯə_j_2 t_a_1 d_a_3 s_a_k_5b ɲ_ɤ̆_n_6 m_o_t_6b s_o_5 v_ɤ̆_n_5 d_e_2 s_ɯ_k_5b x_w_e_4 l_iə_n_1 kw_a_n_1 h_o_j_6 c_ɯ_ŋ_5 ɲ_a_2 k_a_w_1 t_ɤ̆_ŋ_2
VIVOSSPK29_092|c_ɔ_ŋ͡m_6 t_a_j_2 l_ɤ̆_p_6b t_ɯ_k_5b ɲ_ă_k_5b ɲ_ɤ_4 ɲ_ɯ_ŋ_1 ɛ_ŋ_1 n_ă_j_2 c_ă_ŋ_4 ɲ_ɯ_ŋ_3 x_o_ŋ͡m_1 ŋ_ɛ_1 m_a_2 k_ɔ_n_2 n_ɛ_m_5 m_o_t_6b c_a_j_1 n_ɯə_k_5b v_a_w_2 m_ă_t_6b c_ɔ_ŋ͡m_6 t_a_j_2
VIVOSSPK29_093|d_ɯə_k_6b b_iə_t_5b l_ɤ̆_n_2 d_ɤ̆_w_2 t_iə_n_1 ŋ_iə_p_6b v_u_6 b_a_w_1 tʰ_ɛ_ŋ_1 t_w_a_n_5 d_ɯə_k_6b a_p_5b z_u_ŋ_6 ɤ_4 c_ɔ_ŋ͡m_1 n_ɯə_k_5b c_ɯə_k_5b d_ɔ_5 d_a_3 a_p_5b z_u_ŋ_6 c_ɔ_1 h_w_a_t_6b d_o_ŋ͡m_6 s_w_ɤ̆_t_5b x_ɤ̆_w_4
VIVOSSPK29_094|c_i_ŋ_1 f_u_k_6b d_ɯə_k_6b h_w_a_ŋ_2 c_i_1 d_o_ŋ͡m_2 ŋ_iə_3 v_ɤ_j_5 v_iə_k_6b t_iə_n_5 d_e_n_5 x_a_j_1 tʰ_a_k_5b ŋ_uə_n_2 z_ɯə_k_6b l_iə_w_6 n_ă_j_2 f_u_k_6b v_u_6 i_1 h_ɔ_k͡p_6b
VIVOSSPK29_095|c_ɔ_ŋ͡m_1 x_i_1 d_ɔ_5 k_a_k_5b z_w_ɛ_ŋ_1 ŋ_iə_p_6b v_ɤ̆_n_3 z_ɤ̆_t_5b l_ɤ_1 l_a_2 v_a_2 tʰ_iə_w_5 d_ɤ̆_w_2 t_ɯ_1 c_ɔ_1 v_ɤ̆_n_5 d_e_2 b_a_w_4 m_ɤ̆_t_6b m_a_ŋ_6
VIVOSSPK29_096|m_ɤ_1 ɯə_k_5b c_i_4 m_ɤ_j_5 tʰ_ɯ_k_6b h_iə_n_6 d_ɯə_k_6b m_o_t_6b f_ɤ̆_n_2 f_ɤ̆_n_2 k_ɔ_n_2 l_a_j_6 l_a_2 c_ă_ŋ_6 d_ɯə_ŋ_2 l_w_iə_n_6 t_ɤ̆_p_6b z_a_n_1 x_o_4 f_iə_5 c_ɯə_k_5b c_iə_n_5 n_ɔ_j_5
VIVOSSPK29_097|ɛ_ŋ_1 l_a_2 m_o_t_6b c_ɔ_ŋ͡m_1 b_a_1 z_iə_n_3 v_iə_n_1 c_i_ŋ_5 c_ɔ_ŋ͡m_1 f_i_m_1 b_a_1 c_a_ŋ_2 c_a_j_1 t_uə_j_4 h_ɤ_j_6
VIVOSSPK29_098|tʰ_uə_k_5b v_a_2 f_u_t_5b z_a_j_6 x_ɤ_2 k_uə_4 t_uə_j_4 c_ɛ_4 d_a_3 d_ɯə_1 ŋ_ɯə_j_2 k_ɔ_n_1 c_a_j_1 d_ɔ_5 b_ɯə_k_5b z_a_1 x_ɔ_j_4 c_ɤ̆_n_2 tʰ_e_5
VIVOSSPK29_099|n_ɛu_5 k_ɯ_5 k_a_5 m_ɛ_2 m_o_t_6b l_ɯə_5 s_ɛ_3 k_eo_5 m_ă_t_6b b_ă_ŋ_2 v_ă_n_1 h_w_a_5 k_uə_4 kw_ɤ̆_n_2 c_u_ŋ_5 ŋ_ă_j_2 k_a_ŋ_2 s_uə_ŋ_5 tʰ_ɤ̆_p_5b
VIVOSSPK29_100|c_ă_w_5 b_ă_t_5b d_ɤ̆_w_2 c_u_5 i_5 d_e_n_5 k_a_k_5b b_a_n_1 ɲ_a_k_6b n_ɯə_k_5b ŋ_w_a_j_2 v_i_2 h_ɔ_6 m_ă_k_6b d_ɛ_p_6b v_a_2 k_iə_w_4 k_ɛ_k_5b z_ɤ̆_t_5b s_ɛ_ŋ_2 d_iə_w_6
VIVOSSPK29_101|s_ă_w_1 d_ɔ_5 f_u_6 h_w_i_ŋ_1 k_a_k_5b ɛ_m_1 d_a_3 s_uə_ŋ_5 d_ɤ̆_j_1 l_iə_n_1 h_e_6 v_a_2 s_i_n_1 m_o_t_6b s_o_5 h_o_6 z_ɤ̆_n_1 c_ɔ_1 d_ɤ̆_t_5b d_e_4 z_ɯ_ŋ_6 l_ɛu_2 c_ɔ_1 k_a_k_5b ɛ_m_1 ă_n_1 h_ɔ_k͡p_6b
VIVOSSPK29_102|d_o_t_6b kw_i_6 d_a_3 k_ɔ_5 k_u_k_6b m_ă_w_5 d_o_ŋ͡m_1 ɤ_4 c_e_n_1 n_a_w_3 n_ɯə_k_5b d_ɯə_ŋ_2 h_ă_j_1 c_a_2 d_ɯə_ŋ_2 x_o_ŋ͡m_1 tʰ_e_4 z_a_j_4 kw_iɛ_t_5b k_u_k_6b m_ă_w_5 d_o_ŋ͡m_1 d_ɯə_k_6b d_ɤ̆_w_1 ɛ_ŋ_1 a_6
VIVOSSPK29_103|c_ɤ̆_t_5b l_ɯə_ŋ_6 k_o_ŋ͡m_1 t_a_k_5b b_a_w_4 v_e_6 c_ă_m_1 s_ɔ_k͡p_5b s_ɯ_k_5b x_w_e_4 k_ɔ_n_2 tʰ_ɤ̆_p_5b c_ɯə_1 d_a_p_5b ɯ_ŋ_5 d_ɯə_k_6b iə_w_1 k_ɤ̆_w_2 x_a_m_5 c_ɯə_3 b_e_ŋ_6 k_uə_4 ɲ_ɤ̆_n_1 z_ɤ̆_n_1
VIVOSSPK29_104|h_a_j_1 l_ɤ̆_n_2 c_ɔ_ŋ͡m_1 h_iə_p_6b ɲ_i_2 b_ɔ_ŋ͡m_5 d_ɤ̆_p_6b s_a_2 ŋ_a_ŋ_1 z_o_j_6 z_a_1 ŋ_w_a_j_2 x_i_1 tʰ_u_4 m_o_n_1 v_iə_t_5b n_a_m_1 b_ă_t_5b tʰ_ă_j_1 z_ɯə_ŋ_1 h_o_ŋ͡m_2 s_ɤ_n_1 d_a_3 b_ɔ_5 t_ă_j_1
VIVOSSPK29_105|x_i_1 b_a_n_6 x_o_ŋ͡m_1 k_ɔ_n_2 c_u_5 i_5 t_ɤ_j_5 k_a_j_5 t_o_j_1 k_uə_4 m_i_ŋ_2 n_ɯə_3 b_a_n_6 s_ɛ_3 b_ɤ_t_5b ɲ_u_t_5b ɲ_a_t_5b h_ɤ_n_1 c_ɔ_ŋ͡m_1 v_iə_k_6b b_ă_t_5b c_w_iə_n_6 v_ɤ_j_5 f_a_j_5 n_ɯ_3
VIVOSSPK29_106|k_u_ŋ_3 tʰ_eo_1 b_a_2 t_w_iə_n_5 ŋ_ɯə_j_2 z_ɤ̆_n_1 d_a_3 ɲ_iə_w_2 l_ɤ̆_n_2 f_a_n_4 ɛ_ŋ_4 l_e_n_1 k_o_ŋ͡m_1 t_i_1 k_o_4 f_ɤ̆_n_2 k_ɤ̆_p_5b n_ɯə_k_5b ɲ_a_2 b_ɛ_2 ɲ_ɯ_ŋ_1 t_i_ŋ_2 h_i_ŋ_2 v_ɤ̆_n_3 x_o_ŋ͡m_1 k_a_j_4 tʰ_iə_n_6
VIVOSSPK29_107|k_u_ŋ_3 k_ɔ_5 tʰ_e_m_1 m_o_t_6b tʰ_ɯ_4 ŋ_iə_m_6 m_ɤ_j_5 v_e_2 h_i_ŋ_2 tʰ_ɯ_k_5b l_a_2 s_ɯ_6 s_w_ɤ̆_t_5b h_iə_n_6 k_uə_4 m_o_t_6b z_a_1 d_i_ŋ_2 t_a_w_5 k_u_ŋ_2 v_a_w_2 b_a_w_5 k_a_w_5 m_o_t_6b l_u_k_5b v_ɤ_j_5 ŋ_ɔ_k͡p_6b h_w_a_ŋ_2
VIVOSSPK29_108|x_i_1 d_iə_w_2 c_a_1 v_iə_n_1 tʰ_o_ŋ͡m_1 b_a_w_5 c_e_n_1 l_w_a_1 v_e_2 v_iə_k_6b f_a_5 k_ɯə_4 v_a_w_2 t_ɤ_j_5 l_ɤ̆_n_2 tʰ_ɯ_5 b_a_1 tʰ_i_2 k_ɔ_5 ŋ_ɯə_j_2 z_a_1 m_ɤ_4 k_ɯə_4
VIVOSSPK29_109|tʰ_eo_1 z_a_j_4 tʰ_i_k_5b k_uə_4 ŋ_ɛ_ŋ_2 d_iə_n_6 v_a_2 b_o_6 k_o_ŋ͡m_1 ŋ_iə_p_6b tʰ_i_2 v_iə_k_6b t_ă_ŋ_1 z_a_5 d_iə_n_6 l_ɤ̆_n_2 n_ă_j_2 s_ɛ_3 x_o_ŋ͡m_1 ɛ_ŋ_4 h_ɯə_ŋ_4 b_a_w_1 ɲ_iə_w_1
VIVOSSPK29_110|s_a_j_1 m_ɤ_j_5 ă_n_1 n_ɔ_1 s_ɔ_ŋ͡m_1 m_ă_w_5 k_ɤ̆_n_2 z_o_n_2 d_e_n_5 k_ɤ_1 kw_a_n_1 z_a_6 z_ă_j_2 d_e_4 t_ɤ̆_p_6b c_u_ŋ_1 c_ɔ_1 v_iə_k_6b t_iə_w_1 h_w_a_5
VIVOSSPK29_111|m_ă_j_1 m_ă_n_5 l_ă_m_5 h_ɔ_6 m_ɤ_j_5 tʰ_w_a_t_5b c_e_t_5b b_ɔ_m_1 n_o_4 ŋ_ă_j_1 c_e_n_1 b_e_p_5b l_ɔ_2 l_ɤ_n_5 n_ɤ_j_1 h_ɔ_6 d_a_ŋ_1 n_ɤ̆_w_5 b_ɯə_3 ă_n_1 s_a_ŋ_5 s_ɔ_ŋ͡m_1 ŋ_iə_3 kw_ɤ̆_n_1 l_a_j_6 b_i_6 f_ɤ̆_n_1 t_a_n_5 l_ɤ̆_n_2 n_ɯə_3
VIVOSSPK29_112|ɛ_ŋ_1 tʰ_a_1 tʰ_iə_t_5b d_ɯə_k_6b k_ɯə_j_5 t_o_j_1 h_ɤ_n_1 b_ɤ̆_t_5b k_i_2 ŋ_ɯə_j_2 k_ɔ_n_1 ɣ_a_j_5 n_a_w_2 z_u_2 t_o_j_1 c_i_4 m_ɤ_j_5 l_a_2 ŋ_ɯə_j_2 tʰ_ɯ_5 h_a_j_1
VIVOSSPK29_113|l_ɤ̆_n_2 d_iə_w_2 c_i_ŋ_4 n_ă_j_2 kw_ɤ̆_n_6 s_ɛ_3 d_iə_w_2 c_i_ŋ_4 m_o_t_6b s_o_5 x_u_1 k_ɤ̆_j_1 s_ɛ_ŋ_1 v_ɛ_n_1 k_e_ŋ_1 n_ɯə_k_5b d_ɛ_n_1 tʰ_ɛ_ŋ_2 x_u_1 z_ɤ̆_n_1 k_ɯ_1 k_ɔ_5 c_i_ŋ_4 c_a_ŋ_1
VIVOSSPK29_114|c_o_ŋ͡m_2 k_ɔ_n_1 b_uə_n_2 ɲ_ɯ_ŋ_1 m_a_j_3 z_o_j_2 k_u_ŋ_3 tʰ_ɛ_ŋ_2 kw_ɛ_n_1 m_ɤ̆_j_5 c_i_6 ɛ_m_1 l_a_m_2 k_u_ŋ_2 k_a_1 d_ɛu_2 tʰ_e_5 k_ɔ_5 ɣ_i_2 ă_n_1 n_ɤ̆_j_5
VIVOSSPK29_115|k_ɔ_n_1 x_a_t_5b x_a_w_1 l_a_m_2 t_o_t_5b k_o_ŋ͡m_1 v_iə_k_6b k_u_ŋ_3 ɲ_ɯ_1 l_a_m_2 c_ɔ_n_2 b_o_n_4 f_ɤ̆_n_6 k_uə_4 ŋ_ɯə_j_2 v_ɤ_6 ŋ_ɯə_j_2 k_ɔ_n_1 z_ɤ̆_w_1
VIVOSSPK29_116|c_iə_1 l_i_1 l_a_2 x_o_4 d_ă_w_1 l_a_2 m_ɤ̆_t_5b ɲ_ă_w_1 b_iə_t_5b b_a_w_1 z_ɤ_2 m_ɤ_j_5 t_i_m_2 d_ɯə_k_6b l_a_j_6
VIVOSSPK29_117|z_ɤ̆_t_5b ɲ_iə_w_2 b_a_n_6 c_ɛ_4 v_ɯə_2 ă_n_1 v_o_j_6 b_ɯə_3 ă_n_1 c_iə_w_2 v_ɯə_2 ŋ_o_j_2 c_ɤ_2 d_ɤ_j_6 z_ɤ_2 x_a_j_1 m_a_k_6b
VIVOSSPK29_118|t_o_j_1 s_ɯ_ŋ_3 ŋ_ɯə_j_2 v_i_2 ɛ_ŋ_5 m_ă_t_5b n_ɔ_5 x_o_ŋ͡m_1 l_ɤ_2 d_ɤ_2 ɲ_ɯ_1 b_a_n_1 n_ă_j_3 m_a_2 d_a_3 k_ɔ_5 s_i_ŋ_1 x_i_5 c_ɤ_4 l_a_j_6
VIVOSSPK29_119|ŋ_ɯə_j_2 d_ɯ_ŋ_5 d_ɤ̆_w_2 ŋ_ɛ_ŋ_2 k_iə_m_4 s_a_t_5b c_ɔ_1 b_iə_t_5b v_iə_k_6b f_ɤ̆_n_1 c_iə_1 ɲ_ɯ_1 v_ɤ̆_j_6 s_ɛ_3 d_a_m_4 b_a_w_4 c_e_5 d_o_6 d_a_j_3 ŋ_o_6 d_o_j_5 v_ɤ_j_5 t_ɯ_ŋ_2 l_w_a_j_6 k_iə_m_4 s_a_t_5b v_iə_n_1
VIVOSSPK29_120|h_w_ă_k_6b k_a_k_5b b_a_j_2 v_iə_t_5b f_a_n_4 ɛ_ŋ_5 x_o_ŋ͡m_1 x_i_5 d_ɔ_n_5 t_e_t_5b h_w_ă_k_6b k_e_4 v_e_2 k_a_k_5b f_ɔ_ŋ͡m_1 t_u_k_6b ɤ_4 c_i_ŋ_5 d_iə_6 f_ɯə_ŋ_1 m_i_ŋ_2
VIVOSSPK29_121|n_ɔ_5 k_ɔ_n_2 t_a_k_5b d_o_ŋ͡m_6 l_e_n_1 c_u_ŋ_1 ɯə_ŋ_1 tʰ_ɤ̆_n_2 k_i_ŋ_1 v_u_ŋ_2 k_a_m_4 ɲ_ɤ̆_n_6 tʰ_ɛ_m_2 ă_n_1 k_i_k_5b tʰ_i_k_5b tʰ_ɛ_m_2 ă_n_1
VIVOSSPK29_122|n_ɛu_5 x_o_ŋ͡m_1 k_ɔ_5 ɣ_i_2 tʰ_ă_j_1 d_o_j_4 l_ɤ_n_5 z_ɯ_6 a_n_5 n_ă_j_2 f_a_j_4 l_u_j_2 l_a_j_6 v_a_j_2 tʰ_a_ŋ_5 n_ɯə_3 m_ɤ_j_5 k_ɔ_5 tʰ_e_4 t_iə_n_5 h_ɛ_ŋ_2
VIVOSSPK29_123|ɲ_ɯ_ŋ_1 k_ɯ_5 ŋ_i_3 z_ɔ_1 x_o_4 k_ɯ_k_6b ă_n_1 uə_ŋ_5 tʰ_iə_w_5 tʰ_o_n_5 n_e_n_1 m_ă_t_5b b_i_6 s_w_i_1 iə_w_5
VIVOSSPK29_124|k_a_k_5b b_a_n_6 h_ɔ_k͡p_6b d_o_ŋ͡m_2 l_ɯə_5 m_o_1 t_a_4 b_a_2 l_a_2 ŋ_ɯə_j_2 s_o_ŋ͡m_5 z_a_n_4 z_i_6 h_iə_m_5 x_i_1 c_a_ŋ_1 d_iə_m_4 h_w_ă_k_6b d_eo_1 d_o_2 c_a_ŋ_1 s_ɯ_k_5b
VIVOSSPK29_125|b_a_w_1 z_ɤ_2 c_ɔ_1 d_e_n_5 tʰ_a_ŋ_5 m_ɯə_j_2 k_u_ŋ_3 l_a_2 b_o_6 f_i_m_1 d_ɯə_k_6b k_a_k_5b s_i_ŋ_1 v_iə_n_1 ŋ_ɛ_ŋ_2 v_iə_t_6b n_a_m_1 h_ɔ_k͡p_6b c_e_n_1 x_ă_p_5b n_ɯə_k_5b m_i_3 tʰ_uə_k_6b n_ă_m_2 l_ɔ_ŋ͡m_2
VIVOSSPK29_126|c_o_ŋ͡m_5 c_a_j_4 v_a_2 c_ă_ŋ_4 ŋ_i_3 ɣ_i_2 h_o_m_1 n_ă_j_1 ɛ_ŋ_1 x_o_ŋ͡m_1 t_ɤ_j_5 tʰ_ă_m_1 c_w_iə_n_6 t_i_ŋ_2 k_a_m_4 k_ɯ_5 ɲ_a_t_6b ɲ_ɯ_1 z_ɔ_5 tʰ_w_a_ŋ_4 m_ɤ̆_j_1 c_o_j_1
VIVOSSPK29_127|h_ɔ_6 n_ɔ_j_5 v_ɤ_j_5 c_u_4 c_a_j_6 l_a_2 d_i_ŋ_6 m_uə_1 d_e_4 n_uə_j_1 ɣ_a_2 v_a_2 l_a_m_2 ɲ_a_2 ŋ_i_4 ɣ_ɤ̆_n_2 b_iə_n_4
VIVOSSPK29_128|k_a_k_5b b_a_n_6 b_iə_t_5b z_ă_ŋ_2 t_ɤ̆_t_5b k_a_4 m_ɔ_j_6 ŋ_ɯə_j_2 k_u_ŋ_2 h_w_a_t_6b d_o_ŋ͡m_6 ɲ_i_p_6b ɲ_a_ŋ_2 tʰ_i_2 z_ɤ̆_j_1 c_w_iə_n_2 m_ɤ_j_5 t_iə_p_5b t_u_k_6b d_ɯə_k_6b
VIVOSSPK29_129|d_iə_w_2 n_ă_j_2 h_w_a_n_2 t_w_a_n_2 f_u_2 h_ɤ_p_6b v_ɤ_j_5 l_i_5 l_w_ɤ̆_n_6 k_uə_4 i_1 h_ɔ_k͡p_6b k_o_4 c_w_iə_n_2 tʰ_o_ŋ͡m_1 t_ă_k_5b b_ɤ̆_t_5b tʰ_o_ŋ͡m_5 x_i_5 h_w_iə_t_5b l_ɯ_w_1 tʰ_o_ŋ͡m_1 s_ɛ_3 h_e_t_5b d_ă_w_1
VIVOSSPK29_130|o_ŋ͡m_4 d_a_p_5b l_iə_n_2 a_w_5 f_a_w_1 d_e_4 d_i_1 z_ă_ŋ_1 k_ɤ̆_w_1 ŋ_w_a_j_2 d_o_ŋ͡m_2 h_o_ŋ͡m_4 s_ɤ_6 c_e_t_5b d_uə_j_5
